expert_estimated_effort,actual_effort,complexity_class,task_type
0,1200,,general
0,4800,,coding
0,2400,,reading
0,2400,,coding
0,7800,,reading
0,18600,,general
0,1800,,general
0,1200,,general
0,13200,,writing
0,11400,,coding
0,10800,,coding
0,600,,general
0,600,,reading
0,5400,,coding
0,15600,,writing
0,8400,,general
0,58200,,coding
0,6000,,review
0,7800,,review
0,7800,,general
0,38400,,general
0,3600,,general
0,1800,,general
0,600,,problem solving
0,1200,,general
0,6600,,coding
0,3000,,coding
0,6600,,reading
0,5400,,coding
0,4200,,coding
0,18600,,coding
0,2400,,coding
0,7800,,general
0,1200,,coding
0,7200,,coding
0,4200,,coding
86400,1800,5,coding
0,3000,,reading
0,16200,,coding
0,1800,,general
0,3000,,general
0,1800,,writing
0,1800,,coding
0,1800,,coding
0,7200,,coding
0,2400,,coding
0,1200,,coding
0,9000,,coding
0,5400,,coding
0,2400,,coding
0,1200,,coding
0,1800,,coding
0,5400,,reading
0,4200,,general
0,1800,,coding
0,5400,,coding
0,4200,,general
0,37200,,general
0,4800,,general
0,3000,,general
0,5400,,general
0,12000,,reading
0,3600,,coding
0,1800,,general
0,9000,,writing
0,11400,,general
0,3000,,problem solving
0,1800,,coding
0,3000,,writing
0,6000,,coding
0,2400,,coding
0,1200,,general
0,4800,,writing
0,1200,,general
0,4800,,coding
0,7200,,coding
0,6600,,reading
0,1800,,coding
0,6600,,writing
0,3000,,general
0,4200,,coding
0,1800,,coding
0,10800,,general
0,6000,,general
604800,284400,5,coding
0,5400,,coding
0,1800,,coding
0,12000,,coding
0,9000,,general
0,4800,,general
0,3600,,writing
0,12000,,general
0,18000,,general
0,3600,,problem solving
0,4200,,problem solving
0,9600,,problem solving
0,18600,,general
0,4200,,general
0,5400,,general
0,6600,,general
0,5400,,coding
0,2400,,coding
0,1800,,coding
0,4200,,coding
0,10200,,general
0,4200,,general
0,18180,,reading
0,4200,,reading
0,4800,,coding
0,7200,,general
0,600,,general
0,3600,,general
0,13200,,general
0,10200,,general
0,1200,,general
0,23400,,general
0,4200,,general
0,2400,,general
0,5400,,general
0,1200,,general
0,73800,,coding
0,5400,,general
0,9600,,problem solving
0,6600,,coding
0,3000,,general
0,4200,,general
0,7800,,general
0,7200,,general
0,1800,,general
0,1800,,problem solving
0,3000,,general
0,19200,,writing
0,12000,,general
0,19800,,general
0,3000,,general
0,1800,,general
0,1800,,general
0,2400,,general
0,42600,,general
0,17400,,general
0,1200,,general
0,1200,,general
0,1200,,general
0,3000,,coding
0,40200,,coding
0,1200,,general
0,14400,,general
0,3000,,general
0,27600,,general
0,5400,,general
0,2400,,general
0,9600,,general
0,12000,,general
0,600,,general
0,2400,,general
0,64800,,general
0,8400,,general
0,4200,,general
0,8400,,general
0,7800,,general
0,1200,,coding
0,600,,coding
0,16200,,general
0,1200,,reading
0,600,,problem solving
0,1800,,coding
0,1800,,problem solving
0,12000,,research
0,1800,,coding
0,600,,reading
0,57600,,reading
0,57600,,general
0,600,,coding
0,4200,,coding
0,1200,,general
0,600,,general
0,1200,,general
0,1200,,general
0,1800,,coding
0,600,,coding
0,720,,coding
0,1800,,coding
0,4200,,general
0,600,,general
0,1200,,coding
0,1800,,general
0,600,,reading
0,1200,,reading
0,1800,,research
0,1200,,general
0,25200,,coding
0,1200,,general
0,1800,,research
0,2400,,writing
0,3600,,general
0,1800,,reading
0,9600,,general
0,5400,,reading
0,1200,,general
0,1200,,general
0,2400,,coding
0,3600,,coding
0,1800,,writing
0,3000,,coding
0,6000,,general
0,1200,,coding
0,4200,,coding
0,4800,,coding
0,1200,,writing
0,1800,,coding
0,11400,,general
0,3600,,reading
0,1200,,general
0,4200,,coding
0,1800,,coding
0,1800,,coding
0,3600,,coding
0,600,,coding
0,1200,,coding
0,1200,,review
0,1800,,general
0,2400,,reading
0,3000,,reading
0,7200,,reading
0,1800,,general
0,1800,,review
0,1800,,general
0,1200,,reading
0,9000,,review
0,6600,,reading
0,5400,,problem solving
0,2400,,coding
0,9600,,coding
0,4800,,general
0,1200,,reading
0,3600,,writing
0,1200,,general
0,1800,,general
0,13200,,coding
0,4200,,general
0,1200,,general
0,1200,,general
0,1200,,problem solving
0,600,,coding
0,3000,,coding
0,5400,,writing
0,5400,,reading
0,1200,,coding
0,3000,,coding
0,1200,,general
0,42600,,coding
0,1200,,reading
0,12000,,coding
0,4800,,general
0,1800,,general
0,4800,,coding
0,19800,,coding
0,9600,,general
0,2400,,coding
0,1200,,general
0,2400,,coding
0,1800,,coding
0,8400,,coding
0,4800,,coding
0,1200,,coding
0,1200,,coding
0,55800,,coding
0,9600,,general
0,4200,,reading
0,1800,,reading
0,600,,general
0,2400,,general
0,1200,,coding
0,1200,,general
0,2400,,general
0,4200,,coding
0,3000,,coding
0,600,,coding
0,2400,,general
0,600,,writing
0,600,,review
0,9600,,coding
0,600,,coding
0,1800,,coding
0,10800,,coding
0,40800,,general
0,13800,,review
0,4200,,coding
0,39000,,general
0,32400,,general
0,162000,,general
0,7200,,general
0,5400,,writing
0,13800,,general
0,7200,,writing
